query_id,content_id,hard_cots_qid,hard_negative_count
779_A,109,"232_B,232_C,1074_B,232_D,718_A,1050_A,685_D,685_C,323_A,834_B",10
822_C,1436,"822_D,822_B,1398_C,1370_B,1398_D,658_C,248_C,1398_A,248_B,87_C",10
901_B,2519,"901_D,901_A,542_A,339_C,1066_A,542_D,1090_A,298_C,48_A,432_C",10
698_D,317,"698_A,884_C,884_A,1054_B,1673_B,761_B,761_C,841_B,350_A,1067_C",10
205_B,955,"205_C,1094_C,1352_D,24_D,1530_B,1397_D,1257_B,963_A,1632_B,357_B",10
114_C,2131,"114_D,114_B,829_C,1716_D,445_B,108_A,321_C,139_D,960_C,1601_A",10
1081_C,1519,"1081_B,1835_D,1238_A,1277_B,707_D,1238_D,1663_C,244_B,723_A,1238_C",10
416_D,1150,"416_B,1473_B,1531_C,123_C,175_A,549_A,549_C,1377_A,1409_D,613_C",10
1142_A,103,"1142_B,143_D,143_A,582_D,143_B,1185_B,1652_B,1374_B,850_A,1021_B",10
647_B,2082,"647_A,647_D,1145_C,1145_A,1353_A,737_D,1760_B,1760_D,67_D,67_B",10
606_C,2017,"606_D,606_A,67_C,1462_C,1655_C,67_B,1819_C,850_A,489_A,67_D",10
530_B,461,"162_B,360_B,162_C,162_D,360_D,254_D,1328_A,697_C,360_A,1536_C",10
294_A,294,"1414_C,294_B,111_B,808_D,1414_A,559_B,559_C,1334_C,294_C,1651_D",10
636_C,1402,"1099_B,83_B,721_A,1355_D,916_C,316_C,740_A,1589_A,83_C,646_C",10
298_C,2085,"45_B,298_D,1530_B,455_B,1144_C,1661_A,312_D,929_B,1027_B,1422_B",10
1559_B,2312,"665_D,665_B,1118_A,665_A,1651_D,1558_D,946_D,1651_A,294_B,1414_C",10
1154_D,366,"1207_D,651_A,649_D,550_A,846_D,960_C,321_C,911_D,108_A,30_C",10
287_D,1373,"287_C,287_B,348_D,877_D,609_C,1136_D,261_A,1850_C,1041_B,609_B",10
927_A,1522,"185_C,927_B,185_B,62_B,766_C,546_D,913_B,1093_B,254_D,766_B",10
1064_D,233,"394_A,221_D,20_D,1036_D,1670_D,856_C,394_B,1487_D,1176_C,765_C",10
141_A,82,"241_A,850_A,241_B,1082_C,429_B,729_C,370_A,763_C,109_C,723_A",10
1349_B,1268,"1349_C,1523_A,396_B,291_C,1523_B,585_B,585_D,585_C,1163_D,1090_A",10
1372_D,308,"595_A,1514_B,70_A,1365_D,595_C,59_C,1112_A,59_A,1376_A,1117_D",10
877_D,1782,"877_C,877_B,1487_D,287_D,1487_B,1489_C,1189_C,1426_A,1426_C,1155_D",10
1515_C,211,"1208_C,1515_B,1464_A,154_A,1859_D,812_A,1208_A,218_D,1208_D,23_C",10
178_A,2154,"178_C,597_A,597_D,1186_A,1640_D,628_B,1108_A,628_C,628_A,602_B",10
212_D,550,"58_A,264_A,177_A,227_B,82_A,177_B,227_D,82_D,1600_B,614_C",10
1750_B,27,"1807_A,1804_A,1456_D,863_B,1393_B,1615_D,895_D,695_A,254_B,587_C",10
1620_C,736,"124_A,1294_A,819_B,189_D,260_C,170_D,500_B,1027_B,953_A,1366_A",10
307_D,1354,"307_C,307_B,85_B,170_D,953_A,41_B,1027_D,184_B,500_B,130_C",10
397_B,134,"1490_A,898_D,1490_D,1490_B,1292_A,181_B,1858_A,1623_A,1663_D,1858_B",10
829_C,1639,"114_B,1723_C,114_C,890_C,1120_C,108_A,321_C,139_D,960_C,648_A",10
761_C,2094,"761_B,1067_C,698_D,1067_D,698_A,841_B,1673_B,1312_A,235_C,1326_A",10
192_C,1379,"192_A,134_B,192_D,576_C,134_A,916_C,721_A,400_D,1634_C,316_C",10
435_D,1400,"1063_A,935_A,383_D,895_D,695_A,1615_D,254_B,1088_D,935_B,524_B",10
1347_B,997,"1347_D,62_B,185_C,1093_B,927_A,254_D,861_C,913_B,801_C,913_D",10
982_D,2262,"982_B,505_C,529_A,16_A,549_A,1358_A,1358_D,549_C,1644_B,458_D",10
1845_D,524,"1845_C,566_C,566_B,846_D,1552_C,895_D,587_C,695_A,254_B,1615_D",10
1748_B,268,"790_A,372_C,1243_B,673_D,906_C,833_C,593_D,1748_C,1058_A,1557_B",10
1462_B,1881,"1462_A,1462_C,1422_B,1512_D,1819_C,67_B,1575_D,850_A,489_A,67_D",10
954_B,2203,"1432_C,1724_B,444_C,892_B,55_D,1432_D,39_A,39_D,1084_D,55_B",10
768_C,1533,"34_A,1724_B,1788_D,34_D,1169_A,948_D,878_A,473_A,1788_C,473_C",10
304_D,2532,"1465_C,550_A,189_D,899_A,306_D,895_D,587_C,695_A,254_B,1615_D",10
210_D,1379,"134_B,210_A,1232_D,653_B,1080_C,316_C,740_A,134_A,721_A,1099_B",10
94_D,290,"94_C,94_B,465_A,456_B,608_D,1061_B,953_A,1757_B,742_A,184_B",10
1762_B,1269,"928_D,1168_D,1478_B,928_C,515_D,515_B,1765_A,268_D,422_D,115_D",10
467_B,1302,"467_A,1324_A,1324_B,1101_B,988_B,1429_D,1101_C,1429_A,988_A,1409_D",10
976_C,932,"976_D,976_B,766_C,766_B,219_C,62_A,546_D,62_D,603_A,801_C",10
518_A,2499,"518_D,1772_D,1772_A,1772_C,995_A,659_A,785_C,539_C,785_A,785_D",10
183_D,1252,"894_C,1239_B,424_A,413_D,894_D,424_B,78_B,15_C,164_A,514_D",10
273_B,2362,"1193_D,688_A,1399_C,1332_C,253_B,273_C,1565_A,392_A,1667_A,253_D",10
376_A,2143,"45_B,376_B,376_D,1269_D,910_D,648_A,1601_A,139_D,445_B,1723_C",10
898_D,1471,"969_A,898_A,969_C,1620_C,124_A,436_D,488_A,1090_C,1129_B,1608_D",10
721_A,739,"83_C,1099_B,83_B,740_A,134_A,134_B,316_C,1232_D,1589_A,1634_C",10
184_A,2126,"184_B,1031_B,189_B,260_C,418_A,953_A,1710_C,170_D,1366_A,184_D",10
109_A,384,"763_C,252_D,474_D,239_B,1428_C,252_A,723_A,323_C,87_C,1021_B",10
200_C,2549,"1050_B,1291_A,321_C,1441_C,445_B,929_B,434_A,455_B,1282_A,717_A",10
1259_C,656,"454_D,727_D,1124_C,48_A,223_A,523_C,972_C,757_C,725_C,1570_A",10
1410_B,732,"1536_C,360_A,162_B,162_D,1857_C,254_D,697_C,1328_A,1857_D,360_D",10
1472_C,1078,"1770_D,1257_B,1257_A,759_B,55_D,1088_A,524_A,1432_D,24_D,1810_B",10
572_D,1988,"571_A,571_D,152_C,152_D,478_A,73_C,1589_A,1681_D,478_B,152_B",10
729_A,1818,"729_C,370_A,742_A,176_C,792_D,137_A,98_B,723_A,908_B,908_C",10
475_B,2389,"454_D,454_A,1259_C,432_A,432_C,1088_C,41_B,864_B,970_B,24_C",10
1359_D,1229,"914_D,1359_A,1247_B,601_A,601_C,601_D,914_B,1359_C,1811_B,914_A",10
815_B,2138,"815_C,595_B,1112_A,1650_C,59_C,1295_A,595_A,1743_D,1372_D,1743_A",10
1426_B,1167,"1489_A,1489_D,1489_C,1560_B,1242_C,1487_D,150_A,1426_A,150_C,877_D",10
78_D,2397,"78_C,1161_C,103_A,1006_A,991_D,103_D,78_B,103_B,991_A,118_C",10
1769_A,1176,"645_C,845_C,1553_B,645_A,1553_C,671_B,1796_B,640_B,1421_D,1796_C",10
1800_B,496,"333_D,520_B,275_C,333_C,637_C,1686_C,149_B,1084_A,1121_A,1088_A",10
1748_C,1139,"446_C,1058_B,446_B,673_D,790_A,1748_D,1748_B,833_C,593_D,1058_A",10
1319_C,2494,"404_A,1052_D,404_C,720_D,307_C,85_B,1029_C,161_B,184_B,953_A",10
1616_A,468,"106_A,106_C,1322_B,1656_A,1656_D,1392_C,1302_B,751_B,100_A,836_D",10
237_B,2256,"237_C,321_C,1178_B,1716_D,1723_C,108_A,960_C,434_A,139_D,648_A",10
1233_D,670,"1233_B,488_A,938_A,124_B,639_B,1294_A,1294_D,819_B,1432_D,124_A",10
472_C,585,"1395_A,216_C,174_B,216_A,123_C,706_D,12_B,1825_A,12_D,758_A",10
1621_D,1389,"373_D,706_A,373_A,758_A,569_C,569_B,758_C,253_B,1546_A,706_D",10
1816_B,2035,"356_A,167_B,776_C,675_A,814_C,814_D,814_A,878_D,1598_A,776_B",10
1159_A,558,"1757_B,1159_D,1698_D,151_D,1736_A,1027_B,1027_D,953_A,500_B,184_B",10
1038_C,1179,"1038_D,1199_C,609_A,1038_A,609_C,609_B,261_A,259_B,1308_A,1041_B",10
1295_A,2160,"1743_C,1743_A,1743_D,245_C,815_B,245_B,1112_A,245_D,815_C,390_C",10
46_D,31,"299_D,299_B,299_A,1429_B,1189_D,1253_A,1253_D,309_C,1418_A,1429_A",10
878_C,2402,"878_D,878_A,1788_A,473_B,1724_D,1788_D,284_B,204_A,473_C,1432_C",10
62_A,1068,"62_B,62_D,861_C,219_C,976_D,766_C,927_A,254_D,976_C,913_B",10
1229_A,1792,"352_B,1542_A,1837_A,1182_C,1715_B,1124_C,1427_B,1465_C,587_B,376_A",10
1444_B,2251,"1072_A,142_A,592_B,279_A,1072_C,142_B,592_A,904_D,551_B,279_C",10
665_B,1318,"1559_B,1243_B,843_B,843_C,271_C,1651_D,1635_B,1118_A,1651_A,12_B",10
220_D,36,"220_C,1234_C,1234_B,1020_C,1705_A,1705_C,1865_A,1363_C,1865_C,424_B",10
412_C,1132,"412_D,1492_A,1492_B,350_A,794_A,235_C,235_A,350_C,1673_B,813_D",10
243_D,811,"1766_C,1735_A,1017_C,29_A,1637_B,177_B,732_B,432_C,29_D,177_A",10
1223_A,68,"1223_D,1223_C,1263_C,1263_B,901_B,1090_A,542_D,161_C,85_B,881_B",10
322_C,1035,"322_D,322_A,772_B,772_D,1459_D,612_C,319_D,612_D,918_C,486_C",10
93_B,224,"788_B,788_D,93_C,763_C,504_C,160_C,865_C,323_C,452_C,1021_B",10
476_B,329,"476_A,377_A,1141_A,1141_B,1657_D,101_A,625_B,625_A,1507_A,6_C",10
286_B,1418,"286_C,266_B,450_B,266_D,469_C,1714_A,863_B,1853_B,553_D,597_D",10
1590_B,556,"391_A,268_D,1168_A,422_B,515_D,515_B,1590_C,1765_A,928_D,268_A",10
113_A,1805,"113_C,1069_A,1251_B,960_C,648_A,108_A,1601_A,321_C,139_D,1723_C",10
1379_A,1205,"1582_D,1582_B,491_A,347_B,1850_C,25_B,1379_B,1627_B,347_A,154_A",10
307_B,2220,"307_C,307_D,85_B,170_D,953_A,1027_D,41_B,500_B,1027_B,742_A",10
382_B,74,"1040_C,809_A,1633_C,935_A,534_A,778_D,432_C,1088_C,970_B,432_A",10
939_C,2386,"161_A,389_B,161_B,616_B,161_C,1419_A,229_B,870_B,170_D,1419_B",10
99_A,545,"99_B,539_B,99_D,538_C,626_A,704_A,1792_C,1581_D,483_C,726_C",10
206_D,2417,"1334_C,539_B,1558_D,570_A,401_A,1050_A,401_C,685_D,24_C,685_C",10
994_C,1272,"994_D,921_D,400_D,388_B,388_D,322_D,316_C,646_C,1232_D,916_C",10
1623_A,1982,"526_A,526_B,526_D,397_D,397_B,397_A,1623_C,1292_A,181_B,1405_B",10
517_A,1533,"1486_A,317_C,275_C,414_A,1033_B,247_C,247_A,471_D,1639_A,670_C",10
534_A,2566,"396_B,1090_C,1637_B,935_A,1336_A,1163_D,585_B,585_D,1447_B,249_C",10
473_B,2395,"1788_A,473_C,473_A,1788_D,878_C,284_B,1788_C,1432_C,34_A,284_C",10
1647_D,1875,"1647_A,112_A,112_C,357_B,233_D,196_B,901_B,901_D,298_C,1647_C",10
1757_B,1552,"1159_D,1159_B,1159_A,1027_B,1736_A,1027_D,953_A,1366_A,500_B,184_B",10
659_B,1907,"659_A,133_A,995_B,133_B,1414_A,995_A,294_B,518_D,785_C,1772_A",10
507_B,1316,"1401_D,1401_C,52_C,895_D,695_A,1615_D,587_C,254_B,1310_D,306_D",10
393_D,2555,"393_A,393_C,1531_C,1531_A,1020_C,1118_C,1118_A,1363_B,1865_D,1272_B",10
1305_D,49,"968_B,859_A,1452_C,352_B,1683_C,729_C,370_A,864_C,226_C,98_B",10
623_D,931,"223_C,757_C,651_B,30_C,523_C,972_C,725_C,128_C,1570_A,1023_B",10
1516_B,526,"1516_A,1516_D,583_B,198_D,459_C,691_D,198_C,1119_A,1189_C,230_D",10
1034_A,1957,"1686_C,356_B,657_D,814_D,675_A,776_B,1189_C,1816_B,878_D,814_C",10
1210_C,1813,"1210_D,536_B,102_B,280_C,1179_D,375_B,1028_C,282_C,268_D,1594_B",10
1651_D,1370,"1651_A,1651_B,1558_D,946_D,1212_D,294_B,90_A,1414_C,996_A,559_C",10
211_D,1632,"35_B,598_C,973_B,1851_C,708_A,1141_B,625_B,269_B,101_A,1005_C",10
1079_B,2017,"1079_A,1512_D,972_A,1655_C,1462_C,850_A,489_A,67_B,606_D,1462_A",10
1409_B,498,"173_C,1644_B,1377_A,346_C,173_D,560_A,613_C,505_C,549_C,915_C",10
553_A,1128,"1430_B,116_D,694_D,1289_C,24_C,1582_D,493_C,107_A,47_B,694_C",10
942_D,1537,"942_B,942_C,788_D,763_C,1428_C,783_D,87_C,783_B,452_C,1021_B",10
1283_B,784,"769_B,1479_A,230_D,769_A,893_A,956_A,956_B,31_C,956_C,1078_B",10
1363_A,2531,"393_A,1118_C,1705_A,1020_C,1531_D,393_D,1865_D,394_B,1118_A,1531_C",10
1745_B,423,"559_C,650_C,1303_D,1303_A,99_D,671_B,1421_D,661_D,559_B,650_A",10
555_D,1678,"224_A,224_B,555_C,489_A,78_B,538_B,1707_B,704_A,1655_C,15_C",10
818_C,760,"818_D,842_B,1002_B,493_C,1289_C,553_D,178_C,47_B,1108_A,628_B",10
320_B,1953,"320_A,838_D,871_A,726_C,1230_D,256_D,126_D,1790_D,1248_D,483_A",10
389_D,1631,"389_A,1419_B,1419_A,274_A,1519_C,170_D,1109_A,500_B,870_B,161_B",10
354_D,1444,"1837_A,241_B,176_C,351_A,565_C,850_A,1655_C,757_A,1462_C,489_A",10
294_C,570,"1414_B,111_B,294_A,808_D,1414_A,294_B,559_B,559_C,1334_C,1651_D",10
844_A,1706,"844_D,99_A,1792_C,1303_A,539_B,99_B,1273_D,99_D,1230_D,1737_D",10
1095_C,1571,"1423_D,1423_A,1585_A,1423_B,284_A,892_B,1393_B,317_A,24_D,480_B",10
1478_D,2269,"1168_A,1028_B,1590_B,391_A,515_D,515_B,268_A,928_D,1765_A,268_D",10
679_C,1447,"679_B,679_A,1002_B,314_C,918_A,733_A,319_D,612_D,612_C,918_C",10
45_C,2085,"45_B,45_A,376_A,911_D,1583_D,523_C,757_C,972_C,725_C,623_D",10
254_D,491,"254_C,697_C,194_C,1197_C,1328_A,697_A,1536_C,1104_A,1262_C,162_D",10
1443_B,2301,"1065_B,1065_C,84_A,84_C,763_C,201_C,723_A,864_C,709_C,1235_A",10
165_B,1319,"165_C,165_A,1032_C,24_C,432_A,67_D,712_D,1189_C,733_A,1427_C",10
1092_C,2427,"1568_D,162_B,1092_A,1857_A,360_D,254_D,1328_A,1857_D,697_C,1536_C",10
1155_D,1103,"167_B,215_B,776_C,1687_C,167_A,1155_B,481_B,167_D,814_D,1687_A",10
669_A,1550,"1044_A,995_A,785_C,995_B,518_D,659_A,518_A,1044_D,1772_A,659_B",10
1103_B,55,"488_A,933_C,124_A,793_C,1563_B,866_D,536_B,536_D,1028_B,1176_C",10
1464_B,2032,"1843_A,1843_D,1464_A,959_B,1515_B,753_C,1047_B,1448_C,218_D,1208_C",10
1464_A,2437,"1464_B,23_C,1208_A,1843_A,959_B,1515_B,753_C,218_D,1208_C,403_B",10
992_D,1204,"35_D,992_A,667_B,973_C,1756_C,269_B,380_C,1141_B,337_A,625_A",10
1594_A,977,"1594_C,90_C,1256_A,1060_A,1594_B,1334_C,559_B,559_C,294_A,1334_A",10
1592_C,659,"1592_B,54_C,1548_C,730_A,1483_C,786_A,1548_B,1253_C,1483_A,759_B",10
266_B,1807,"266_D,286_B,145_C,450_B,469_C,863_B,1289_C,884_A,694_C,553_D",10
978_B,2352,"1817_C,978_A,1484_C,1404_A,1393_B,1655_C,731_B,1462_C,854_D,1819_C",10
3_B,1180,"44_B,44_D,532_A,1558_D,532_B,946_D,282_C,532_D,1558_C,1364_A",10
1436_A,1810,"72_B,72_A,1436_C,72_C,1425_D,723_A,864_C,98_B,226_C,709_C",10
357_B,1680,"1225_B,496_D,902_A,359_C,451_A,298_C,36_B,496_A,45_B,114_D",10
430_C,1294,"362_A,121_B,660_C,362_B,121_C,231_B,753_C,174_A,1614_B,1220_A",10
1196_C,1735,"91_A,91_C,91_B,65_B,1021_B,834_B,1245_A,452_C,323_C,850_A",10
1358_A,1452,"1358_D,458_B,458_D,982_B,982_D,505_C,505_D,975_C,560_A,549_C",10
501_B,843,"1548_C,464_A,1548_B,54_C,1592_B,1483_A,549_A,730_A,759_B,1483_C",10
314_C,1046,"314_A,679_A,990_C,679_C,918_A,733_A,918_C,612_D,791_D,612_C",10
1429_D,2428,"1429_A,1429_B,988_A,1690_A,1324_A,1189_D,617_B,467_B,1101_B,1253_D",10
544_D,226,"544_C,497_A,544_A,497_B,903_A,736_B,1276_D,1558_D,1748_B,53_A",10
360_D,1225,"360_B,162_C,1857_D,1857_A,162_D,254_D,1328_A,697_C,1536_C,530_B",10
992_A,619,"973_B,1657_D,973_C,1756_C,981_B,269_B,380_C,35_D,337_A,1141_B",10
443_C,421,"80_A,80_B,401_A,401_C,1077_B,1733_A,1776_C,1776_D,1733_D,570_D",10
119_B,1400,"643_C,1863_D,1063_A,395_A,1847_D,349_C,136_A,119_A,612_D,24_D",10
1732_C,1939,"818_C,286_B,602_B,733_A,187_C,791_D,1427_C,918_A,1031_B,1189_C",10
439_B,1007,"734_B,355_B,355_D,175_A,1712_C,1276_D,736_B,1276_A,781_B,53_C",10
374_B,860,"738_C,1653_B,738_B,371_B,374_A,1234_B,1044_A,995_A,669_A,1868_C",10
443_B,421,"80_A,80_B,401_A,401_C,1077_B,1733_A,1776_C,1776_D,1733_D,570_D",10
330_B,29,"330_C,330_A,1213_D,8_B,575_A,8_C,263_D,469_B,469_C,129_A",10
581_D,2489,"581_A,1348_C,1209_A,1209_D,1348_B,1805_B,731_B,731_C,1296_D,854_D",10
757_A,1948,"757_B,757_C,633_B,972_C,712_D,523_C,623_D,725_C,1570_A,850_A",10
1365_D,1601,"59_C,390_C,1507_A,1650_C,1372_D,1112_A,815_B,59_A,245_C,245_B",10
802_C,1566,"802_B,195_B,332_B,1191_A,700_A,553_D,715_D,1447_B,1853_B,1509_A",10
388_B,2412,"1232_D,994_A,921_D,994_C,646_C,322_D,400_D,316_C,916_C,134_B",10
1004_B,1074,"730_B,337_A,1657_D,730_A,1376_A,1592_B,1592_C,100_B,54_C,759_B",10
150_C,1520,"1487_D,150_B,150_A,877_D,877_C,1489_C,877_B,1036_D,1064_D,1554_A",10
524_B,2230,"1088_A,488_A,935_B,1088_C,432_C,524_A,1090_A,983_D,864_C,585_B",10
741_D,68,"741_B,741_A,542_C,339_B,542_A,542_D,1090_A,339_A,48_A,534_B",10
1650_C,914,"1650_D,595_A,59_C,1365_D,815_B,1372_D,1112_A,390_C,1117_D,1376_A",10
413_B,590,"514_B,991_D,413_D,164_C,514_D,183_B,894_D,103_A,103_D,164_A",10
481_A,2237,"481_B,1864_D,1155_B,529_A,221_D,39_A,18_D,1757_B,1721_C,1070_D",10
766_C,2166,"976_D,976_C,546_D,976_B,219_C,913_D,801_C,1470_C,62_A,766_B",10
893_A,666,"893_B,1078_B,1078_C,1119_D,1283_B,769_B,1479_D,1479_A,769_C,230_D",10
329_C,1963,"1310_D,746_D,550_A,1278_A,1537_B,895_D,587_C,1615_D,695_A,254_B",10
1811_B,1047,"1675_A,1573_D,590_A,1505_C,1675_B,1675_C,1045_A,492_B,874_A,1573_A",10
558_B,1755,"308_A,700_A,308_C,700_D,308_D,558_D,1000_A,1127_C,1841_D,1098_B",10
975_B,1223,"328_C,975_C,1055_B,1377_A,982_D,549_A,549_C,505_C,505_D,982_B",10
1370_B,1456,"1370_D,822_D,248_C,822_C,1398_C,248_B,658_C,1368_B,239_B,201_C",10
32_B,98,"32_C,32_A,1213_D,1717_B,315_A,1042_A,1509_A,369_D,1447_B,715_D",10
198_D,1230,"198_C,198_A,1516_A,922_A,1479_D,459_C,5_C,1516_B,230_D,1119_A",10
608_D,2228,"608_B,608_A,151_D,456_B,465_A,151_A,1419_A,711_A,161_B,184_D",10
1294_A,795,"819_B,1294_D,124_A,860_A,292_D,524_B,1088_A,124_B,1637_B,503_D",10
174_A,1743,"384_C,174_B,216_C,573_D,943_D,216_A,463_C,706_D,472_C,744_A",10
1080_C,663,"1634_C,740_A,1099_B,83_C,210_D,316_C,1232_D,721_A,134_A,134_B",10
628_B,1847,"628_C,597_D,286_C,602_B,178_C,450_B,47_B,469_C,178_A,863_B",10
681_D,1660,"227_A,227_B,177_B,132_C,778_D,908_D,1637_B,177_A,29_C,732_B",10
895_D,2306,"254_B,695_A,306_C,369_C,1633_D,1615_D,1310_D,587_A,1124_C,587_B",10
526_D,251,"526_B,1623_D,526_A,1623_A,397_D,397_B,397_A,1623_C,1292_A,181_B",10
159_D,807,"509_B,509_C,159_A,807_A,143_A,1245_A,1021_B,1282_A,65_B,834_B",10
1286_B,232,"1286_D,597_D,1714_A,394_B,1036_D,394_A,441_D,236_D,20_D,1237_D",10
1374_B,1235,"1652_B,1185_B,1185_D,1601_A,1664_D,1142_B,160_C,434_B,1021_B,850_A",10
737_B,2384,"737_D,950_B,1760_B,1575_D,647_D,1145_A,1145_C,1760_D,950_A,950_D",10
767_B,1509,"767_A,559_B,294_A,1118_A,1531_D,393_C,1020_C,1531_C,843_B,1118_C",10
1209_A,1882,"1109_A,1348_B,1209_C,581_D,1052_D,246_D,246_B,1419_A,1052_B,144_B",10
1272_B,1764,"1531_C,393_C,1531_A,155_D,1531_D,393_A,1254_D,393_D,118_A,1006_D",10
1379_B,1374,"347_A,347_B,1379_A,1850_C,25_B,1627_B,154_A,1678_A,812_D,1041_B",10
539_B,1815,"539_C,99_A,99_D,1772_C,483_C,1792_C,1273_B,704_A,1581_D,832_D",10
195_B,1852,"195_A,802_C,450_B,802_B,884_B,1447_B,553_D,1509_A,715_D,1853_B",10
609_A,2081,"609_B,609_C,1199_C,261_A,259_B,1041_B,1041_A,259_D,775_C,261_D",10
398_D,1793,"398_C,18_D,167_D,1233_B,488_A,436_D,1294_A,436_B,124_B,1433_A",10
38_B,217,"38_D,1430_A,1430_B,1386_D,821_C,19_D,263_D,694_D,1357_C,1289_C",10
790_A,895,"1748_B,180_C,974_D,1748_C,673_D,673_B,1748_D,1274_A,1557_B,1274_C",10
1712_C,537,"1868_C,1712_B,1234_C,1868_A,439_B,738_C,374_B,738_A,1234_B,1868_D",10
1026_B,1690,"1660_A,1660_B,570_C,850_A,1082_C,214_D,214_C,36_D,676_D,1251_A",10
1613_D,1110,"1523_B,1523_A,1336_A,1107_B,249_C,1163_D,585_B,249_A,585_D,896_D",10
819_B,1282,"1294_A,1485_B,124_B,860_A,292_D,524_B,1637_B,1088_A,488_A,1088_D",10
247_D,1787,"247_A,247_C,1639_A,471_D,670_C,414_A,1725_A,670_B,55_D,1124_C",10
446_B,2508,"446_D,446_C,1748_C,1342_C,1058_D,1557_B,1011_C,1058_A,372_C,1557_C",10
313_A,1082,"108_D,488_A,488_C,860_A,1113_D,349_C,136_A,432_A,383_D,1637_B",10
229_C,1055,"229_B,521_C,1419_B,1366_A,161_A,1419_A,170_D,161_B,616_B,184_D",10
126_A,1148,"1413_B,871_A,1248_D,838_D,735_A,320_A,320_B,726_C,1790_D,704_A",10
1843_A,284,"1464_B,1843_D,1208_A,1464_A,1515_B,23_C,218_D,753_C,1448_C,1047_B",10
987_C,1429,"338_A,263_B,338_B,1289_C,553_D,263_D,863_B,1430_A,8_C,529_B",10
79_D,1880,"614_C,1600_B,1250_B,1497_D,723_B,763_C,723_A,87_C,79_B,87_D",10
335_B,1338,"1814_A,868_A,868_C,965_C,895_D,411_C,55_D,1088_A,983_C,488_A",10
1857_A,732,"194_A,1328_A,360_B,360_D,1092_C,254_D,1857_D,162_B,697_C,360_A",10
30_C,220,"911_D,1723_C,114_B,651_B,1069_A,523_C,128_C,757_C,623_D,1570_A",10
532_A,2464,"3_B,1558_D,44_B,1176_C,1028_B,1179_A,1779_A,391_A,870_B,1179_D",10
683_B,2583,"731_B,1296_D,854_D,731_C,1296_B,1655_C,1462_C,1805_B,656_B,683_C",10
1760_D,578,"1760_B,1760_A,1145_C,1145_A,647_B,737_D,647_D,1145_B,647_A,950_A",10
812_B,747,"812_D,154_C,154_A,1850_C,1859_D,812_A,1627_B,1678_A,1754_C,1595_C",10
1740_B,2080,"1368_B,763_C,686_A,84_A,862_A,248_B,723_B,87_C,723_A,248_C",10
