query_id,content_id,semi_negatives,semi_negative_count
1650_C,914,"1181,330,2429,1914,579,1908,674,2272,2449,1729",10
413_B,590,"1830,2388,1942,1611,235,1661,1671,33,50,1219",10
481_A,2237,"2203,815,1553,936,285,1294,1035,2566,151,703",10
766_C,2166,"1293,1231,1634,849,513,2159,2075,830,1091,210",10
893_A,666,"2342,676,855,2002,25,372,30,679,862,1611",10
329_C,1963,"908,1435,855,835,2172,1054,77,2215,2350,874",10
1811_B,1047,"1295,1729,372,872,646,2193,530,2186,141,35",10
558_B,1755,"2444,835,2223,1184,169,1578,419,688,1610,839",10
975_B,1223,"2093,69,1634,120,579,1396,202,1538,1078,60",10
1370_B,1456,"630,2544,1733,1340,1810,1412,16,1314,2357,1461",10
32_B,98,"1093,2173,403,1164,1711,891,245,659,1941,1692",10
198_D,1230,"2449,161,1894,1571,2066,30,835,1093,643,1151",10
608_D,2228,"142,1198,2490,2358,444,558,2009,1634,1887,357",10
1294_A,795,"356,2158,1387,25,580,2306,2222,2264,330,1244",10
174_A,1743,"2001,1214,2110,26,1610,867,124,883,2340,1190",10
1080_C,663,"1093,1379,1317,1605,2431,1673,175,1983,2422,2148",10
628_B,1847,"1739,1807,1246,45,1241,1452,1156,1431,893,1035",10
681_D,1660,"2488,1707,1751,2043,569,2530,1282,60,699,1360",10
895_D,2306,"1005,271,1128,2449,536,1963,1231,2469,954,1024",10
526_D,251,"1839,1045,492,1765,2184,2492,1842,900,1067,54",10
159_D,807,"2248,1826,994,471,46,1908,74,2408,170,512",10
1286_B,232,"1611,1939,549,134,1942,554,2031,1125,2063,423",10
1374_B,1235,"1971,132,1944,1032,50,525,512,703,2148,93",10
737_B,2384,"2017,1294,2263,1408,1181,1814,2075,1983,2042,1894",10
767_B,1509,"420,475,1007,1773,1389,2189,618,1693,304,262",10
1209_A,1882,"1908,2126,1982,908,210,2049,260,1824,1194,1427",10
1272_B,1764,"1289,686,1477,2531,1295,1728,2541,843,141,2490",10
1379_B,1374,"141,1599,244,947,1634,1529,1378,315,2139,2414",10
539_B,1815,"1520,615,1939,356,2394,2432,2341,2193,649,793",10
195_B,1852,"200,120,759,891,727,1549,579,941,885,1894",10
609_A,2081,"1128,536,1093,25,568,699,1311,947,443,2044",10
398_D,1793,"1634,1205,1558,34,2200,1485,602,959,2100,2019",10
38_B,217,"1887,2223,98,2547,2399,403,79,1834,1624,519",10
790_A,895,"1363,2569,2489,591,1953,2421,0,595,1067,872",10
1712_C,537,"282,1964,1069,1959,1071,570,2370,1370,434,1588",10
1026_B,1690,"2373,1543,506,727,676,2552,59,840,1128,260",10
1613_D,1110,"287,80,857,1017,676,2586,2172,2504,330,580",10
819_B,1282,"1244,1648,1722,25,1634,388,2264,1387,520,840",10
247_D,1787,"676,1999,1251,1432,1672,2181,2173,1403,1078,2217",10
446_B,2508,"872,1108,620,432,1128,1656,2268,2271,1791,625",10
313_A,1082,"195,353,1444,2422,1549,1408,15,79,626,1179",10
229_C,1055,"1939,902,1093,2221,536,465,2009,1720,1224,2271",10
126_A,1148,"1686,1671,841,2302,455,996,843,293,793,305",10
1843_A,284,"1777,1674,2286,383,2424,2060,509,2318,283,2507",10
987_C,1429,"2400,893,69,839,627,1939,2078,2021,1634,312",10
79_D,1880,"195,334,1304,1020,1994,57,2544,2586,2530,1810",10
335_B,1338,"1515,1244,1231,1078,2222,1729,1119,1814,755,25",10
1857_A,732,"1587,1611,589,178,1160,1873,478,831,2053,1634",10
30_C,220,"1597,2408,1716,891,2504,1408,1312,403,930,2340",10
532_A,2464,"113,1532,0,1802,1842,2267,1599,464,853,1960",10
683_B,2583,"762,60,1435,315,1370,271,2488,947,1078,2148",10
1760_D,578,"606,30,1549,2042,891,941,1540,1091,1282,2519",10
812_B,747,"2032,1547,1978,1139,1224,356,1494,1908,379,2139",10
1740_B,2080,"2014,244,2355,1007,179,68,1691,1572,1279,1942",10
1199_C,950,"1035,566,15,1628,697,196,2349,312,1128,1800",10
1208_C,2145,"1512,905,708,510,665,1726,141,2184,1136,1037",10
855_A,2134,"820,340,317,848,1566,1551,50,2170,1075,1206",10
1734_C,2305,"1123,1937,857,1579,447,709,2431,2001,954,840",10
1691_D,1655,"2223,296,2429,467,606,2046,44,1980,1523,538",10
1754_C,989,"1736,2267,850,1978,287,2289,857,205,161,1741",10
956_C,1954,"1576,1529,312,937,1065,30,996,1206,2422,153",10
432_C,391,"851,463,539,283,460,1768,156,1340,1972,2014",10
149_B,2346,"1887,30,1408,687,1035,499,1555,2033,312,1576",10
1465_C,2181,"1644,153,656,79,2552,1128,1514,1862,2323,1323",10
160_C,2436,"2072,1987,25,1881,930,2586,686,2001,1256,2408",10
1685_C,1495,"1156,839,1840,2429,2547,1008,1088,1,2178,2349",10
943_D,925,"2124,2100,1971,1584,2109,1776,420,835,2014,1791",10
901_A,196,"420,33,26,1900,791,1092,1134,580,1814,676",10
237_C,974,"954,35,516,1881,1682,1610,2504,891,1672,580",10
813_D,1508,"1020,667,2373,403,1939,1971,24,312,2110,2533",10
369_C,347,"1206,80,941,244,975,1894,1119,673,1558,1887",10
271_C,1927,"2490,841,1442,1047,762,2174,398,2007,420,1729",10
1065_C,1144,"585,2464,1294,515,1726,1512,1834,415,1047,1971",10
1706_A,876,"607,727,1097,1562,484,2282,165,1942,31,2031",10
622_B,2542,"2488,1463,2556,315,1523,1469,1634,2223,1538,381",10
324_B,1740,"1765,51,2353,857,2236,2336,2423,68,517,1999",10
1838_B,2280,"1036,1602,1532,725,694,1224,1635,130,2252,1611",10
1581_D,746,"1455,624,499,584,1302,2518,841,1230,774,884",10
457_B,54,"249,977,2018,893,1589,477,1302,1184,1244,77",10
174_B,1868,"1908,1149,2422,2518,2110,591,1576,1190,124,384",10
1423_A,1781,"1628,25,2053,579,1057,2000,568,1103,1317,2306",10
1070_A,2185,"2019,2504,1274,353,2109,1473,2100,755,1387,1458",10
224_A,982,"1661,2440,2415,312,2175,1815,1972,356,1051,1181",10
463_C,585,"580,972,930,8,2106,857,2271,85,2110,900",10
689_D,1130,"676,1485,1597,1044,2215,34,170,742,200,947",10
231_C,1499,"1942,1721,1363,136,1735,383,561,1412,465,47",10
1582_D,1280,"1463,1024,1219,2484,774,687,1578,1978,419,1469",10
1174_B,800,"1523,1241,1008,1599,659,1601,1485,986,1358,518",10
1088_A,2487,"687,2541,1209,831,1494,334,499,2586,1666,2518",10
1208_A,2032,"1608,510,708,1037,141,905,156,665,601,248",10
657_C,2375,"937,1971,1435,2431,1765,52,1170,2212,1814,2107",10
1347_D,565,"2221,343,696,2311,221,1308,442,1939,504,1049",10
1818_B,1358,"1894,2373,58,1538,916,2078,1129,353,72,172",10
185_A,1522,"2426,791,1315,468,750,1317,444,2075,1599,1827",10
742_A,2016,"2408,1111,1219,256,1128,79,1554,878,755,1941",10
679_B,1046,"1722,72,372,419,1206,1999,1441,2273,2122,1035",10
94_C,1388,"1971,753,1408,566,1097,484,315,499,878,2403",10
1143_B,2569,"2106,2334,1543,1773,2397,313,1877,2348,1970,262",10
1220_C,1108,"2508,1128,536,727,840,2037,2271,1029,1735,1691",10
940_D,357,"2138,2320,111,2191,1794,68,444,1894,447,2408",10
492_B,1960,"1444,841,2248,514,2174,1067,396,1015,423,618",10
78_B,272,"709,398,2226,2490,1194,1112,2040,1281,1814,85",10
584_A,229,"1097,312,635,1176,1725,814,1683,2278,2106,2009",10
373_B,2336,"2443,0,114,1224,708,410,420,1285,2121,95",10
1361_B,186,"1599,234,1274,2469,930,334,2317,25,2556,857",10
510_A,718,"2466,1543,455,1886,434,2334,669,654,35,2005",10
639_B,467,"1300,1119,902,373,45,884,791,793,720,2148",10
1009_C,711,"1400,1610,15,50,2552,674,1274,1900,330,1941",10
136_A,1597,"2126,779,340,376,964,1231,857,2082,1999,975",10
1239_B,1292,"554,1972,71,1791,312,1844,1773,1326,561,2345",10
403_B,608,"1480,1041,635,753,681,580,2072,256,1942,2432",10
1078_B,1491,"568,1485,2172,1751,2271,486,2323,2173,1867,196",10
1087_D,2334,"1325,1271,1886,2508,8,2271,615,455,272,625",10
199_C,525,"240,2402,1765,2133,1492,703,2148,941,2093,68",10
1586_B,2240,"1904,2001,79,1125,1894,196,1628,1444,774,256",10
591_C,910,"1302,293,449,700,85,1939,2531,2025,455,2278",10
128_C,77,"81,462,1939,2085,1360,334,1093,2383,1277,2046",10
199_B,525,"777,115,2408,2173,1551,1492,2148,1566,1609,1438",10
1151_D,629,"1863,2009,1128,1485,1673,417,2291,1957,2349,2444",10
591_B,910,"1057,1302,449,85,700,2025,455,1939,2531,2278",10
277_A,1026,"1735,1929,1728,330,1562,2408,674,579,519,1672",10
191_C,1981,"2109,2395,1408,2100,674,2212,1887,15,795,2046",10
445_B,2256,"1610,2085,1814,891,2106,2027,240,2533,1576,271",10
373_D,2454,"0,2443,114,1224,708,410,420,1041,95,241",10
143_A,978,"2001,1206,1939,1049,91,1571,465,340,2469,74",10
1492_A,344,"26,1803,2126,2408,1599,196,1444,2322,557,1631",10
1084_A,228,"1814,310,2123,1460,1795,1765,947,499,2164,566",10
280_C,1480,"721,384,1939,2452,569,1682,1378,2454,1949,2353",10
758_D,48,"1480,773,8,1851,680,829,2059,1071,1285,1763",10
324_D,1370,"280,2106,1999,2267,1041,51,2423,1989,484,2236",10
133_A,1406,"1283,2189,927,1741,1565,1176,1746,840,2516,1325",10
723_A,379,"540,835,132,2581,688,1707,1599,499,1181,1617",10
16_B,105,"1408,1864,1350,986,1611,964,2061,1999,49,1275",10
1548_C,1212,"1983,1729,580,249,744,1941,1549,2262,2221,1164",10
1836_D,965,"582,238,310,1791,2536,1912,1538,2408,1408,705",10
893_B,1491,"1151,372,676,1894,2356,855,403,2002,25,862",10
1504_C,968,"1937,1254,855,923,1939,2350,310,568,2586,577",10
214_D,1644,"1939,1432,231,256,1929,1049,499,1324,1631,1360",10
98_B,57,"1017,337,2530,2158,2001,1285,1134,1691,244,1599",10
763_C,2425,"484,346,891,337,1834,994,1721,1464,1908,79",10
499_B,86,"579,1393,1323,478,0,1318,1765,659,1015,1219",10
718_A,331,"840,2277,1999,2488,842,1765,2408,170,1644,995",10
1339_C,923,"561,426,271,1997,248,927,1611,373,519,31",10
575_A,2234,"2272,2126,1280,78,744,2406,687,467,1634,1624",10
1138_B,2398,"1820,353,2147,896,1881,1799,888,78,1983,1429",10
696_A,2124,"2044,1207,2242,1915,2021,2133,2323,2402,1244,2344",10
79_B,1771,"334,1776,2530,840,2544,688,57,11,1834,1304",10
192_A,1605,"2346,1840,1033,1609,2349,2100,1634,2055,822,364",10
648_A,1872,"2272,356,840,2408,2209,1266,1887,2504,621,103",10
855_C,1911,"317,403,1551,848,820,1206,1593,477,2170,1075",10
834_B,1421,"1751,1535,46,1024,79,830,1134,1119,727,2504",10
555_C,734,"2175,2086,45,312,1972,356,2415,1815,1181,1051",10
1403_C,1883,"570,1015,1844,2334,554,709,2490,1047,1725,1097",10
331_B,1920,"1278,1389,1835,1982,874,1215,54,2028,1599,432",10
424_C,1663,"877,79,1181,2517,50,2291,862,2100,549,2350",10
392_C,1707,"2336,1931,1139,875,992,2113,401,1611,135,829",10
614_C,2043,"1908,1325,1047,1882,265,499,1254,774,1660,1304",10
1041_B,1718,"2477,1015,549,2488,831,536,50,2081,1672,356",10
688_B,114,"1610,829,2218,1389,1326,654,141,2232,83,248",10
1701_D,1741,"635,295,640,1183,315,2488,535,973,2283,584",10
1095_B,702,"755,1894,1231,947,2422,68,779,1936,580,1190",10
839_C,655,"1697,1485,2532,251,2187,2237,1587,1282,1729,1751",10
955_B,23,"1387,1623,1707,1761,1769,427,747,2424,1832,594",10
493_C,1261,"2154,2001,1396,546,907,2350,350,2009,371,2408",10
701_A,1737,"515,290,1731,1894,510,2221,536,2340,1377,2049",10
839_B,655,"1697,251,2187,863,1751,1435,2373,1282,45,1035",10
1858_D,1029,"2371,332,1015,1727,673,2544,11,644,2435,591",10
867_B,1872,"1119,1814,2272,1004,937,340,1554,1311,2567,2533",10
590_C,295,"1314,857,1202,1311,532,1765,1282,2443,1586,315",10
1393_B,466,"1963,793,68,1999,2272,2227,45,997,2187,2028",10
660_B,1417,"1868,2060,727,2124,81,1128,2014,536,471,523",10
1028_C,110,"1069,2332,1505,423,530,1960,271,639,2432,669",10
320_A,71,"2105,1229,1954,515,1634,2193,1741,1908,902,1035",10
213_C,1251,"569,613,1834,679,941,1578,1713,347,1576,2373",10
1473_B,2071,"2306,891,1208,1609,1538,835,2489,902,1983,791",10
256_C,982,"2283,1408,580,15,1983,1134,764,902,235,746",10
1125_C,1626,"1473,1219,2085,959,310,1432,1093,986,521,964",10
1456_D,1664,"1494,481,301,420,791,634,1214,310,1015,749",10
41_D,2252,"1044,568,580,753,1543,2585,2383,617,315,330",10
1047_A,2500,"2311,460,2032,1219,492,1893,185,156,81,699",10
1339_D,1897,"1440,1611,401,1997,654,519,1971,1614,1944,2014",10
