query_id,content_id,hard_negatives,hard_negative_count
294_A,294,"2104,570,270,912,1283,551,1348,2394,789,527",10
636_C,1402,"1379,1988,2412,1529,2162,2390,739,663,1165,123",10
298_C,2085,"346,1416,1360,2143,838,948,1921,1729,68,1219",10
1559_B,2312,"1318,1509,912,1370,515,1281,570,476,270,561",10
1154_D,366,"137,2137,255,328,488,1666,315,373,969,74",10
287_D,1373,"2507,2050,915,865,1782,1210,1179,1183,2278,2100",10
927_A,1522,"650,2006,1561,2259,1560,2159,2249,2343,2297,1457",10
1064_D,233,"1423,1395,877,192,648,457,996,1219,1183,459",10
141_A,82,"876,1487,1400,602,1012,1219,2443,212,379,2508",10
1349_B,1268,"614,1729,1506,930,1510,370,1219,2291,200,1266",10
1372_D,308,"1070,447,456,1601,2112,914,2023,531,1396,329",10
877_D,1782,"1210,1422,915,2050,1373,2507,1183,1725,1167,719",10
1515_C,211,"601,2145,1731,747,1603,1674,179,2492,284,2032",10
178_A,2154,"2458,2429,1515,2093,2073,2308,1057,50,2278,749",10
212_D,550,"1612,2469,2049,1880,1660,1139,1682,561,1224,642",10
1750_B,27,"948,2316,32,1416,1374,2306,1128,2278,987,1057",10
1620_C,736,"1135,2566,286,1507,1720,81,2376,1821,2475,849",10
307_D,1354,"2220,469,2472,210,215,2376,2475,81,713,1821",10
397_B,134,"2226,229,1258,1530,1471,1029,1586,2318,582,1102",10
829_C,1639,"974,1800,1597,577,751,74,373,107,315,2488",10
761_C,2094,"2279,1616,2367,1575,1757,317,1219,1794,2100,561",10
192_C,1379,"1605,1248,1988,1402,794,1675,1876,2033,2162,824",10
435_D,1400,"1805,1648,1558,34,2306,1978,1773,1282,2278,1435",10
1347_B,997,"565,234,2001,1416,1264,1186,1560,2249,2159,1502",10
982_D,2262,"1820,1918,1819,1452,499,888,312,624,1015,862",10
1845_D,524,"1642,734,1012,478,488,1124,2306,561,987,1999",10
1748_B,268,"1139,1836,895,797,563,470,282,283,1949,883",10
1462_B,1881,"1032,414,2248,484,1012,2175,657,2541,2136,2583",10
954_B,2203,"285,2346,1730,1858,1978,2278,1378,1972,1751,831",10
768_C,1533,"126,2264,2481,955,228,1773,2402,45,1408,673",10
304_D,2532,"2488,2518,256,1999,706,2306,987,561,2221,1672",10
210_D,1379,"2392,1988,1402,794,1876,663,2390,1529,1165,739",10
94_D,290,"1388,1198,469,3,2228,976,81,2139,1821,2475",10
1762_B,1269,"728,448,532,556,2354,1481,95,141,263,2508",10
467_B,1302,"312,1646,372,624,499,2100,1972,2278,1219,888",10
976_C,932,"2501,2180,1416,2166,714,1560,1364,2024,1457,2297",10
518_A,2499,"28,1087,1907,654,2341,773,1426,355,464,2161",10
183_D,1252,"2072,653,305,1325,686,159,1985,808,646,1292",10
273_B,2362,"9,8,100,309,48,2117,1707,725,1314,280",10
376_A,2143,"1510,1911,911,2085,871,107,107,74,373,1666",10
898_D,1471,"2119,1231,941,1282,947,1805,1135,736,1435,1219",10
721_A,739,"1529,2033,1315,1876,1876,2390,1165,663,1591,123",10
184_A,2126,"1720,2472,1220,467,1696,1115,1115,81,713,672",10
109_A,384,"2060,1464,569,1806,1133,265,1512,3,379,1755",10
200_C,2549,"628,319,519,1433,1079,1666,1191,838,1871,1432",10
1259_C,656,"1026,575,458,617,657,2270,2389,2285,931,940",10
1410_B,732,"1966,1098,1306,1225,2198,2457,1998,2462,2426,461",10
1472_C,1078,"1908,2278,2311,2340,1773,1978,1972,1634,1599,831",10
572_D,1988,"1379,794,1402,2392,322,1315,1705,123,824,2033",10
729_A,1818,"1543,1160,696,1102,82,391,1219,2443,1308,2508",10
475_B,2389,"940,2270,2285,1219,561,1729,2291,2278,1254,1814",10
1359_D,1229,"814,2193,1741,1271,1661,459,530,1686,768,1763",10
815_B,2138,"904,329,1601,1033,914,1710,2112,2023,531,1396",10
1426_B,1167,"915,719,2050,1725,1422,996,1520,1183,1219,441",10
78_D,2397,"272,1835,398,867,18,2388,2197,669,686,1252",10
1769_A,1176,"1970,1279,2423,415,1791,1851,2486,1194,1886,793",10
1800_B,496,"2346,1795,2264,1510,1730,1978,2278,1773,1972,1887",10
1748_C,1139,"268,1304,407,2113,563,895,470,282,283,1949",10
1319_C,2494,"1338,114,2183,2027,1524,561,2586,2278,1773,713",10
1616_A,468,"1445,1203,2351,1362,924,1879,2331,248,635,1329",10
237_B,2256,"974,1606,2372,978,2225,1153,74,315,373,2488",10
1233_D,670,"815,1824,1793,1474,1435,1282,1978,1773,2469,1135",10
472_C,585,"1868,2037,182,1425,1505,1389,977,2357,1917,1219",10
1621_D,1389,"2336,977,182,1425,1707,280,434,51,2106,1588",10
1816_B,2035,"1103,2053,671,54,1047,840,1244,1219,2412,1773",10
1159_A,558,"1411,692,108,1115,1552,2220,1821,2475,2513,2139",10
1038_C,1179,"950,443,1867,2215,1773,299,161,2278,1729,2507",10
1295_A,2160,"985,903,890,904,914,2112,531,177,2023,2129",10
46_D,31,"1761,1839,1977,1538,1219,68,536,2100,561,1237",10
878_C,2402,"2395,45,1035,2350,2187,22,2375,1244,2136,840",10
62_A,1068,"352,2159,1457,1561,1094,1364,1186,1560,2249,2024",10
1229_A,1792,"2473,2582,1501,621,1467,2518,561,2532,1941,1999",10
1444_B,2251,"1188,921,1250,1703,2535,1290,640,776,1202,2369",10
665_B,1318,"2312,570,1281,1927,2241,1351,1370,561,1949,282",10
220_D,36,"306,522,1498,801,645,1122,2188,1281,204,1325",10
412_C,1132,"344,1511,2295,437,111,1249,2265,148,2065,741",10
243_D,811,"1803,974,1400,1214,38,1219,1729,561,2278,1972",10
1223_A,68,"2519,661,196,1834,835,2209,2209,1219,519,536",10
322_C,1035,"2187,189,2350,1628,1983,151,2055,2278,579,1634",10
93_B,224,"492,460,1697,1345,583,2425,510,265,1755,688",10
476_B,329,"1469,2510,2138,1601,1033,318,1759,1396,2191,804",10
286_B,1418,"983,744,733,956,1807,1976,1576,825,774,2278",10
1590_B,556,"1265,2354,1481,185,905,561,1543,141,263,1707",10
113_A,1805,"1514,481,1361,516,107,1872,74,373,1666,911",10
1379_A,1205,"1374,1900,1544,1890,2507,1219,835,1278,1179,2221",10
307_B,2220,"1354,469,210,391,52,2376,81,2475,849,713",10
382_B,74,"373,969,1153,34,795,1219,1017,1729,561,1254",10
939_C,2386,"1582,210,2568,52,1093,2376,1925,142,713,936",10
99_A,545,"255,1815,833,773,1446,2302,2415,535,398,648",10
206_D,2417,"1679,131,1680,1610,1554,2161,1693,817,561,1219",10
994_C,1272,"2412,2254,716,1619,2033,2162,399,2187,1035,2402",10
1623_A,1982,"1215,2303,251,673,1029,2443,2508,1586,582,2318",10
517_A,1533,"2264,2481,955,791,1266,1972,1219,1773,1978,2278",10
534_A,2566,"1135,736,286,34,795,1219,1266,1729,1274,930",10
473_B,2395,"22,2375,2402,45,1938,1428,1016,1244,2136,840",10
1647_D,1875,"2122,190,1589,934,1241,1680,1680,2586,1277,2278",10
1757_B,1552,"1716,1720,1115,558,1411,1821,2513,2475,2139,81",10
659_B,1907,"654,28,2499,405,1406,2104,773,1426,355,464",10
507_B,1316,"1119,249,1008,1207,2306,2278,1219,561,1972,1599",10
393_D,2555,"1956,912,2360,435,293,1117,1382,204,646,2283",10
1305_D,49,"25,1924,1494,195,158,1219,2443,2508,1308,857",10
623_D,931,"2285,2270,1026,220,2389,458,575,656,940,77",10
1516_B,526,"205,2333,574,1870,629,1167,1183,1422,915,2507",10
1034_A,1957,"1673,1398,1320,399,1764,1047,2303,1982,2278,54",10
1210_C,1813,"591,2495,1047,2040,972,110,1543,561,992,1953",10
1651_D,1370,"515,1041,2174,270,2464,1348,85,2432,1791,570",10
211_D,1632,"1786,61,2133,1270,292,2073,1396,2278,804,1759",10
1079_B,2017,"2248,2316,2175,1850,1012,484,1881,2541,1032,524",10
1409_B,498,"357,888,499,1452,2163,2074,624,777,312,372",10
553_A,1128,"1523,120,1130,561,2173,2278,744,2387,1008,1152",10
942_D,1537,"1487,166,978,1714,2425,224,379,156,141,1012",10
1283_B,784,"1050,2244,852,246,865,1183,2278,1972,1219,1773",10
1363_A,2531,"1289,2188,996,1382,293,1117,1052,535,2555,2360",10
1745_B,423,"2394,527,2467,1851,935,398,1279,1176,1325,2283",10
555_D,1678,"734,459,2560,982,828,686,2397,1881,1012,1112",10
818_C,760,"2458,2242,1715,2308,1261,317,1057,50,69,1128",10
320_B,1953,"71,154,235,570,743,398,686,2204,2072,459",10
389_D,1631,"210,2220,672,52,2284,1582,2386,2376,936,1925",10
354_D,1444,"621,315,583,909,823,484,1219,1012,2278,478",10
294_C,570,"2104,294,293,1318,1509,270,1283,2394,789,527",10
844_A,1706,"1887,1446,833,1357,1851,398,307,1926,2283,700",10
1095_C,1571,"702,1124,1042,2258,1781,1978,1579,2164,2383,2408",10
1478_D,2269,"1488,369,269,992,561,1481,821,769,1942,2278",10
679_C,1447,"1046,986,1629,988,2242,2278,561,2311,1378,1599",10
45_C,2085,"220,1911,1416,1360,2143,1664,2389,2270,2285,1026",10
254_D,491,"1507,1623,504,631,457,1392,2457,377,392,1998",10
1443_B,2301,"1144,1003,1768,1568,642,2113,287,1285,1139,379",10
165_B,1319,"261,521,1416,1514,2326,1634,561,2278,1972,1219",10
1092_C,2427,"2426,761,745,275,732,2198,2457,377,1998,1555",10
1155_D,1103,"388,2053,2035,781,2107,2109,2323,1384,671,1587",10
669_A,1550,"2570,2036,534,35,355,773,1907,1707,1426,654",10
1103_B,55,"1082,1282,2566,745,1386,1543,2269,992,1611,269",10
1464_B,2032,"2437,919,284,1559,2492,179,1187,62,218,1753",10
1464_A,2437,"2032,1945,2145,1530,284,1559,179,919,1187,1753",10
992_D,1204,"619,854,2123,1320,1756,1270,145,2191,1965,1622",10
1594_A,977,"1340,2289,2357,1389,1917,114,2137,1370,527,2394",10
1592_C,659,"2190,1001,1523,606,302,2238,1057,856,50,2278",10
266_B,1807,"1976,2579,1374,78,1431,493,1549,825,1008,1479",10
978_B,2352,"223,952,1447,1750,438,466,484,1219,1729,2583",10
3_B,1180,"2493,515,2394,465,618,2218,226,1851,1791,2464",10
1436_A,1810,"422,2268,898,1848,2113,2083,2508,2443,642,1219",10
357_B,1680,"190,2586,2085,346,1072,572,1277,1729,519,2221",10
430_C,1294,"1196,511,1082,130,1417,1896,2500,1849,1390,401",10
1196_C,1735,"265,1388,1044,2070,1729,1190,156,195,807,2142",10
1358_A,1452,"888,326,1820,1799,2262,499,221,624,1223,777",10
501_B,843,"2373,1612,1212,120,1128,1206,561,2278,862,2034",10
314_C,1046,"1447,986,58,339,2278,561,2311,1378,1599,568",10
1429_D,2428,"735,1371,1986,2208,2558,1538,499,1761,31,312",10
544_D,226,"2210,576,1877,470,2554,1836,2261,1007,2113,642",10
360_D,1225,"2426,1306,1966,2457,732,2198,377,1998,1555,2462",10
992_A,619,"1204,2123,1398,854,1756,1270,145,2191,1965,988",10
443_C,421,"1969,1928,1353,478,1430,1842,1943,1025,444,2564",10
119_B,1400,"1597,1648,1558,34,1224,1361,561,1282,2278,566",10
1732_C,1939,"1128,2158,2100,561,2278,2311,1599,568,1046,1378",10
439_B,1007,"1399,926,2355,1940,1009,1877,561,1687,2261,576",10
374_B,860,"821,421,105,532,1779,2161,2569,2267,1056,2334",10
443_B,421,"1969,1928,1353,478,1430,1842,1943,1025,444,2564",10
330_B,29,"848,172,2015,606,2234,907,1514,774,749,1166",10
581_D,2489,"478,1882,1427,2583,2296,2296,484,183,713,561",10
757_A,1948,"458,2539,2017,502,1487,674,520,2389,2270,575",10
1365_D,1601,"2138,329,1033,914,1710,2023,2112,531,1396,177",10
802_C,1566,"78,1048,172,217,1852,1924,1219,1130,1017,1729",10
388_B,2412,"2330,1359,1402,1272,739,2033,2162,399,2187,1035",10
1004_B,1074,"565,2326,147,302,2238,856,1565,561,2138,329",10
150_C,1520,"1169,996,1210,441,1167,192,1183,457,1219,648",10
524_B,2230,"2487,391,68,636,1219,835,1729,1278,857,1091",10
741_D,68,"196,1834,2519,661,835,2209,2209,1219,519,1729",10
1650_C,914,"1710,1596,1396,1039,1601,2138,2023,2112,531,329",10
413_B,590,"159,2105,669,1985,71,1333,1252,653,2072,1325",10
481_A,2237,"2185,175,855,1342,1518,561,2323,1365,2298,2148",10
766_C,2166,"1560,932,2024,2501,2180,1364,1457,2297,1219,1702",10
893_A,666,"1491,682,784,1050,765,549,865,1183,2278,2529",10
329_C,1963,"1054,706,1507,328,1981,2306,561,987,2278,1773",10
1811_B,1047,"1813,829,2040,1325,307,1613,271,653,590,1851",10
558_B,1755,"167,1044,838,265,2398,113,1540,1593,80,59",10
975_B,1223,"1820,1799,326,1452,499,561,2278,1773,1015,888",10
1370_B,1456,"1832,1745,1283,1860,1436,2544,156,1857,1617,2443",10
32_B,98,"347,1566,2234,891,749,1206,172,1219,1130,1729",10
198_D,1230,"2132,486,2514,2342,686,784,1050,1183,1065,1219",10
608_D,2228,"976,89,2472,2296,1354,1198,1388,713,1410,2407",10
1294_A,795,"1282,2119,1082,1135,1435,78,1978,1773,1805,941",10
174_A,1743,"1868,1499,401,1849,2214,925,1389,977,1219,287",10
1080_C,663,"739,1529,2330,1744,1988,2390,1165,1591,123,1163",10
628_B,1847,"791,1894,728,181,2154,1057,50,1243,1128,1515",10
681_D,1660,"1682,1880,214,811,1017,1219,742,2278,561,1972",10
895_D,2306,"987,1941,1672,347,1130,2488,561,1999,2221,2518",10
526_D,251,"2303,1215,1982,673,1029,2443,2508,1586,582,2318",10
159_D,807,"1701,1494,882,1598,2436,2425,265,1755,2070,2142",10
1286_B,232,"256,371,2134,1152,192,996,648,457,535,746",10
1374_B,1235,"994,1987,1994,911,1676,1012,1219,2248,857,2278",10
737_B,2384,"1140,171,2020,2011,146,414,482,1459,44,937",10
767_B,1509,"1895,570,2312,1318,1382,293,1281,1117,85,204",10
1209_A,1882,"2296,2489,254,271,902,478,713,1631,561,52",10
1272_B,1764,"1809,1047,644,1788,1382,1117,396,293,2283,2194",10
1379_B,1374,"1205,1280,408,1812,1900,2507,1219,835,1278,1179",10
539_B,1815,"545,700,773,1446,255,2341,535,996,398,686",10
195_B,1852,"1566,217,78,1008,565,1280,1219,1130,1017,1729",10
609_A,2081,"2401,443,963,737,950,1179,299,2507,161,427",10
398_D,1793,"1824,670,1220,1750,1282,1435,2469,1135,1805,1978",10
38_B,217,"2234,1463,1980,317,1075,792,633,1048,1566,1246",10
790_A,895,"268,1748,282,1139,563,883,283,1949,1541,2465",10
1712_C,537,"801,2293,829,2267,95,1007,1056,1061,1633,764",10
1026_B,1690,"158,1695,709,1012,2326,519,1644,1641,2046,68",10
1613_D,1110,"25,440,49,1274,930,1219,1266,2291,94,1729",10
819_B,1282,"1435,1937,2217,795,78,1978,1135,1773,941,1805",10
247_D,1787,"2009,791,1515,191,2276,1978,1972,1773,2278,2172",10
446_B,2508,"26,2443,422,898,2083,283,283,282,2014,1949",10
313_A,1082,"795,55,314,1435,1639,1597,1400,561,2278,1800",10
229_C,1055,"834,142,961,1737,1720,1093,2376,2472,672,849",10
126_A,1148,"1527,1956,649,743,2204,2072,1565,686,584,1802",10
1843_A,284,"1559,919,2032,601,2437,179,1187,218,62,1530",10
987_C,1429,"2520,2147,1549,317,1,1206,120,2034,579,1128",10
79_D,1880,"1771,1590,1660,84,1682,981,156,212,379,332",10
335_B,1338,"1387,2494,1999,2306,1066,1634,1773,2278,1978,1972",10
1857_A,732,"2198,461,1966,1098,1306,1225,2426,2457,377,1998",10
30_C,220,"1911,911,2143,102,2048,2270,2389,2285,575,458",10
532_A,2464,"194,1836,268,1543,2106,1393,1370,620,515,561",10
683_B,2583,"2576,2489,183,478,1618,1884,484,561,1427,1881",10
1760_D,578,"44,2011,754,1459,1676,349,937,2384,482,703",10
812_B,747,"1674,119,2057,2194,803,1585,1731,2507,989,1603",10
1740_B,2080,"141,1662,1139,1568,2301,156,379,694,576,332",10
1199_C,950,"1179,2081,443,2239,299,161,2278,2507,1729,561",10
1208_C,2145,"2032,1945,2437,1559,1530,2492,1603,2526,218,179",10
855_A,2134,"1911,371,1374,1152,438,1549,2398,79,346,2066",10
1734_C,2305,"1898,189,1342,1999,1634,1773,1978,2278,1972,2552",10
1691_D,1655,"896,1218,1246,29,217,749,907,1909,172,2278",10
1754_C,989,"991,1674,1037,600,1731,1586,2507,1585,489,509",10
956_C,1954,"213,852,928,2444,1651,784,1050,865,1183,1219",10
432_C,391,"481,636,1928,1143,2515,1294,2443,2508,1219,1308",10
149_B,2346,"397,1730,2203,285,691,1349,632,1059,365,188",10
1465_C,2181,"328,1516,1862,2326,1082,2306,561,987,2518,1941",10
160_C,2436,"1701,1448,2070,2353,1788,2197,2388,305,2450,265",10
1685_C,1495,"652,1018,413,357,2034,2484,893,1209,1142,1492",10
943_D,925,"708,1607,182,585,2214,1917,1389,977,432,642",10
901_A,196,"2519,2209,1091,68,1834,661,553,1219,1773,536",10
237_C,974,"2256,34,1558,1800,2225,1153,74,315,373,2488",10
813_D,1508,"164,1794,1563,965,111,1575,1409,1219,2367,1255",10
369_C,347,"1130,2458,1374,340,74,969,1219,1017,561,1266",10
271_C,1927,"2241,192,206,402,1370,515,1783,2025,1318,1219",10
1065_C,1144,"1568,2301,1003,1768,642,1304,2113,287,1285,1139",10
1706_A,876,"82,1487,2225,1944,2474,1543,1219,1729,141,530",10
622_B,2542,"2373,133,447,1933,565,1184,1549,916,2066,1374",10
324_B,1740,"1370,1940,368,2394,1851,2493,2432,1180,1325,464",10
1838_B,2280,"7,2500,1704,1100,179,1586,401,1939,1896,1029",10
1581_D,746,"253,648,554,1423,1984,877,192,996,457,1881",10
457_B,54,"990,2012,2179,836,275,2124,2374,1587,1119,561",10
174_B,1868,"1743,585,1425,2037,401,2214,1389,977,1219,287",10
1423_A,1781,"1978,702,2577,1245,2165,1571,2164,1579,2028,2148",10
1070_A,2185,"1245,1937,971,2109,1282,2469,1805,1978,1135,941",10
224_A,982,"828,1668,1455,1678,734,734,686,2397,1881,1112",10
463_C,585,"1868,2037,182,1425,1937,1389,977,1917,2357,287",10
689_D,1130,"623,606,1540,1128,1360,1852,1219,857,2278,1017",10
231_C,1499,"2282,1743,2184,432,401,57,1139,2573,379,2382",10
1582_D,1280,"2134,1980,1812,317,1463,1909,234,1549,2066,579",10
1174_B,800,"1033,2039,1965,292,1632,2361,1396,1759,2368,1622",10
1088_A,2487,"2230,391,1278,1127,1219,835,1729,68,1091,857",10
1208_A,2032,"2145,1945,919,284,1559,2492,2437,1603,218,179",10
657_C,2375,"1365,22,2546,1016,1981,2237,561,855,1244,2323",10
1347_D,565,"997,1074,1576,2326,1264,1186,1560,2159,2249,1502",10
1818_B,1358,"820,1548,72,848,1976,2038,1057,749,2278,1469",10
185_A,1522,"1561,650,2006,2259,2343,1560,2249,2159,1502,491",10
742_A,2016,"1058,849,2376,1636,2252,81,2472,2475,1821,2513",10
679_B,1046,"1447,986,58,339,79,2278,561,2311,1378,1978",10
94_C,1388,"290,1111,265,346,1198,2228,81,2139,1821,2475",10
1143_B,2569,"764,2161,1783,2241,270,789,773,2394,464,1851",10
1220_C,1108,"1893,57,900,2573,130,1417,1896,401,622,1974",10
940_D,357,"498,888,221,806,499,624,312,1646,1302,2074",10
492_B,1960,"1292,1539,1683,1851,1940,271,307,1325,653,2394",10
78_B,272,"2397,1835,867,1333,1194,2388,2197,669,686,459",10
584_A,229,"2226,1047,2194,134,398,304,1357,700,1790,1815",10
373_B,2336,"2454,625,785,1505,2570,2365,434,280,1707,1588",10
1361_B,186,"1336,638,2359,1510,1805,1941,774,1361,1282,1751",10
510_A,718,"1450,809,2466,501,1738,2455,644,1279,1970,793",10
639_B,467,"2222,2126,1696,568,670,1634,2271,1773,1978,1894",10
1009_C,711,"2375,1332,22,340,1929,1219,1729,2278,1266,1773",10
136_A,1597,"191,1800,1400,1648,1814,2173,774,568,561,1282",10
1239_B,1292,"1565,808,1960,743,2090,1252,686,653,1325,2072",10
403_B,608,"2526,1461,182,967,2060,1464,384,1020,1224,1219",10
1078_B,1491,"765,1466,395,784,1074,1120,2278,1773,1972,1183",10
1087_D,2334,"415,725,0,48,829,219,1707,356,793,410",10
199_C,525,"1263,1459,482,2384,2017,2278,2541,561,857,2100",10
1586_B,2240,"2581,2142,2068,2372,547,2549,1755,1666,1432,838",10
591_C,910,"648,18,867,554,2056,2056,1545,192,746,1335",10
128_C,77,"656,1026,2285,102,220,2270,458,2389,575,1666",10
199_B,525,"1263,1459,482,2384,2017,2541,2278,561,857,2248",10
1151_D,629,"1652,1604,1870,205,526,1167,549,1547,1183,2278",10
591_B,910,"648,18,867,554,2056,2056,1545,192,746,1335",10
277_A,1026,"656,2285,2270,77,2048,458,2389,1729,575,1814",10
191_C,1981,"145,1441,579,2323,1282,2148,1435,736,1135,561",10
445_B,2256,"1606,2372,978,974,2131,74,315,373,1153,969",10
373_D,2454,"2336,625,532,1071,1897,2365,434,280,1707,1588",10
143_A,978,"1724,1714,103,2114,2372,994,2131,1012,1219,2248",10
1492_A,344,"1132,1511,49,1249,111,2265,148,2065,2295,1409",10
1084_A,228,"2264,2273,1241,2278,1773,126,1978,1972,2402,2408",10
280_C,1480,"1917,1348,899,1790,1389,977,1219,561,2357,182",10
758_D,48,"426,236,875,100,241,356,1707,793,1791,367",10
324_D,1370,"1740,2174,270,515,2394,1851,1940,2432,1180,464",10
133_A,1406,"405,2570,534,2336,1907,654,773,1426,355,464",10
723_A,379,"212,1662,1768,1391,2043,2043,156,1044,1239,569",10
16_B,105,"1659,2378,327,2578,2163,499,561,1302,312,357",10
1548_C,1212,"1376,571,856,2030,561,2373,2212,1128,843,1119",10
1836_D,965,"111,1255,1465,1575,2309,164,2257,2367,1794,1511",10
893_B,1491,"666,1466,765,395,549,1547,865,1183,2278,2507",10
1504_C,968,"710,24,1189,952,278,1921,1219,561,2263,1408",10
214_D,1644,"436,2046,1641,1284,1630,2098,2586,519,1834,536",10
98_B,57,"391,337,2573,165,1691,244,1776,2060,384,1464",10
763_C,2425,"224,1701,1448,783,1697,510,265,1755,688,379",10
499_B,86,"503,1932,2344,1310,1767,2192,1128,561,2278,1599",10
718_A,331,"1614,46,2215,2292,109,1554,1610,519,1693,1219",10
1339_C,923,"1897,2266,158,1884,1890,51,1908,1707,2334,280",10
575_A,2234,"2579,29,1206,2034,1209,749,1909,2278,1048,172",10
1138_B,2398,"2307,848,1593,1540,363,80,59,891,633,1469",10
696_A,2124,"2021,353,1128,990,2012,2484,2034,1142,1209,1479",10
79_B,1771,"1880,1590,807,783,1701,981,156,212,379,1044",10
192_A,1605,"1379,1248,1383,2431,1342,1675,1876,2033,2162,824",10
648_A,1872,"894,2567,220,911,107,2398,74,373,1153,315",10
855_C,1911,"2134,220,911,2143,438,1549,2398,79,2066,346",10
834_B,1421,"320,2277,838,1535,577,1432,1755,1666,2070,265",10
555_C,734,"1678,524,1664,1032,982,828,686,2397,1881,1012",10
1403_C,1883,"2353,2332,1175,1788,2103,396,305,2450,2388,2197",10
331_B,1920,"1227,2349,2482,279,960,2443,2508,1219,1488,2268",10
424_C,1663,"159,1319,2441,2000,1534,133,1114,1985,590,1835",10
392_C,1707,"725,2370,2365,309,1314,280,51,872,434,2362",10
614_C,2043,"212,214,1162,379,379,156,561,1044,1239,2278",10
1041_B,1718,"508,2149,387,767,963,427,299,1107,161,2507",10
688_B,114,"2362,8,1917,1368,1513,1707,1314,280,51,725",10
1701_D,1741,"1271,1733,1229,1763,1686,1854,561,1219,2278,1661",10
1095_B,702,"1571,567,1355,1220,1781,1978,1579,2164,2383,1219",10
839_C,655,"1372,104,2212,2030,1660,561,840,1682,1244,1773",10
955_B,23,"1183,228,2048,113,2318,1029,1586,2443,1102,2508",10
493_C,1261,"20,2429,662,760,2458,2173,1807,1549,561,2383",10
701_A,1737,"692,845,1720,2386,2386,2376,142,1925,713,1821",10
839_B,655,"1372,104,2212,2030,1660,561,840,1682,1773,1244",10
1858_D,1029,"582,179,156,1102,2318,1586,1939,1219,1729,1567",10
867_B,1872,"2567,220,911,2046,74,894,315,373,1153,969",10
590_C,295,"297,263,1927,1219,356,1942,793,640,420,1707",10
1393_B,466,"752,2202,1792,1921,2473,2278,1978,1972,1751,1571",10
660_B,1417,"1896,130,1266,80,267,1324,1214,2500,1849,1390",10
1028_C,110,"1968,1386,992,935,1790,396,515,1180,618,1543",10
320_A,71,"1953,881,1780,828,743,398,686,2204,2072,459",10
213_C,1251,"947,1557,1933,481,1152,78,722,548,1128,330",10
1473_B,2071,"1150,21,2378,624,499,561,1986,221,312,372",10
256_C,982,"828,1668,1455,1678,2072,1252,1835,1219,1599,1318",10
1125_C,1626,"2411,1403,2431,980,1814,1634,231,2173,561,1378",10
1456_D,1664,"2445,2316,909,64,458,1948,2389,2270,575,2285",10
41_D,2252,"2386,1093,849,1998,672,2284,2376,81,713,936",10
1047_A,2500,"2127,1849,1974,1896,1704,1704,7,1386,439,179",10
